thrL	4.127494716
thrA	3.609236947
thrB	3.731531735
thrC	3.693955904
yaaX	2.423078051
yaaA	2.597139469
yaaJ	1.629858444
talB	3.387621107
mog	2.334987411
yaaH	2.158927637
yaaW	1.294053083
htgA	0.98980817
yaaI	1.303222957
dnaK	3.825749338
dnaJ	2.980783722
insL-1	0.724553238
insL-2	0.861549868
insL-3	0.834163463
hokC	0.736743985
mokC	0.723751381
nhaA	0.770433685
nhaR	0.754051651
insB-1	0.694114615
insB-2	0.741223699
insB-3	0.716874413
insB-4	0.810990812
insB-6	0.797372829
insB-7_1	0.741653244
insB-7_2	0.707098874
insB-7	0.741920575
insB	0.749170998
insA-1	0.761569786
insA-2	1.09529434
insA-3	0.949697226
insA-6	1.00967042
insA-7	0.98056716
insA-4	0.849176194
insA	0.776336577
rpsT	4.085216616
yaaY	1.5470721
ribF	3.168403337
ileS	3.251672727
lspA	3.835166883
fkpB	3.224208299
ispH	2.929773451
rihC	2.178273333
dapB	3.784003957
carA	3.530338462
carB	3.365862683
caiF	2.07281516
caiE	1.188251122
caiD	0.829161263
caiC	1.60000845
caiB	1.569309424
caiA	1.493937857
caiT	1.35161694
fixA	0.868928145
fixB	1.026421626
fixC	1.039340709
fixX	1.131979339
yaaU	1.075880501
kefF	1.822787221
kefC	2.144110973
folA	2.776820653
apaH	2.376082438
apaG	2.983415489
ksgA	3.170933084
pdxA	2.955181327
surA	3.235834954
imp	3.199409738
djlA	2.473883445
yabP	2.467046403
yabQ	2.358275609
rluA	2.258505646
hepA	2.46672508
polB	1.709760845
araD	0.925318956
araA	1.215090981
araB	0.883946864
araC	2.052437944
yabI	2.167341511
thiQ	1.353383273
thiP	1.65272249
tbpA	1.873132216
sgrR	1.949838745
sgrS	2.158150244
setA	1.94580402
leuD	3.657227759
leuC	3.562703356
leuB	3.586737135
leuA	3.618257014
leuL	3.653754689
leuO	1.664322647
ilvI	3.32847984
ilvH	3.119449387
fruR	2.878392699
mraZ	3.614314788
mraW	3.024848048
ftsL	3.442552681
ftsI	2.537942306
murE	2.807976584
murF	2.841197044
mraY	2.738424841
murD	2.775196913
ftsW	2.761401752
murG	2.84809291
murC	2.819211151
ddlB	3.008085405
ftsQ	3.121430215
ftsA	3.011118216
ftsZ	3.501470802
lpxC	3.602138284
secM	3.162055116
secA	3.026979318
mutT	2.165218252
yacG	3.11582129
yacF	2.899525617
coaE	2.779983973
guaC	3.417804649
hofC	1.306330384
hofB	1.290142522
ppdD	0.966451329
nadC	2.766143188
ampD	2.435690181
ampE	2.095824688
aroP	3.604095295
pdhR	3.178223469
aceE	3.739073325
aceF	3.451791819
lpd	3.804991663
yacH	1.28813074
acnB	3.569765515
yacL	2.271892987
speD	3.766231915
speE	3.732658646
yacC	3.174753867
cueO	3.353320903
gcd	2.755630312
hpt	3.195425842
can	3.785445086
yadG	2.577753944
yadH	2.584677805
yadI	2.231761464
yadE	1.825193231
panD	3.370757169
yadD	1.512639911
panC	3.176076058
panB	3.097904508
yadC	1.324178672
yadK	1.143080926
yadL	1.402456026
yadM	1.275691167
htrE	0.835970701
ecpD	0.900702517
yadN	1.084269337
folK	2.771199443
pcnB	3.182210797
yadB	2.219368919
dksA	3.578908908
sfsA	2.414685978
ligT	2.216241468
hrpB	2.056683984
mrcB	2.465524495
fhuA	1.044067362
fhuC	0.714869784
fhuD	0.919215218
